Title,Airdate,Rating,Votes,Description,Runtime,Genre,Certificate
"<a href=""/title/tt1639109/"">Angel Beats!</a>","<span class=""lister-item-year text-muted unbold"">(2010)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","14,506","
Rebellious teens fight in armed combat against one dispassionate girl's supernatural powers in an afterlife high school.","<span class=""runtime"">25 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt5497534/"">Tokyo Ghoul: Root A</a>","<span class=""lister-item-year text-muted unbold"">(2015)</span>","<span class=""ipl-rating-star__rating"">3</span>","15,035","
After being tortured and transformed, Kaneki leaves Anteku and joins Aogiri tree in order to protect his friends. While he tries to get stronger, Touka decides to enroll in college while they all try to recover from Kaneki leaving.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Drama            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt2176165/"">Another</a>","<span class=""lister-item-year text-muted unbold"">(2012)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","15,049","
A young man named, Koichi Sakakibara, transfers to a new school where he finds himself drawn into a mystery involving a mysterious girl and a series of gruesome deaths.","<span class=""runtime"">300 min</span>","<span class=""genre"">
Animation, Drama, Horror            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt1279024/"">Toradora!</a>","<span class=""lister-item-year text-muted unbold"">(2008–2009)</span>","<span class=""ipl-rating-star__rating"">4</span>","15,359","
Ryuji Takasu lives in a falling down house with his mother, and although being a nice guy is cursed with the evil look of his father causing people to avoid him. Taiga Aisaka is a tiny,self...                See full summary »
","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0985344/"">Claymore</a>","<span class=""lister-item-year text-muted unbold"">(2007)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","13,762","
In a world rife with deadly creatures called ""youma"", a young silver eyed woman, Clare, works on behalf of an organization that trains female youma halfbreeds into warriors with the ability...                See full summary »
","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt0807832/"">Mushi-Shi</a>","<span class=""lister-item-year text-muted unbold"">(2005–2014)</span>","<span class=""ipl-rating-star__rating"">5</span>","13,479","
Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems.","<span class=""runtime"">25 min</span>","<span class=""genre"">
Animation, Drama, Fantasy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0185133/"">Yu Yu Hakusho: Ghost Files</a>","<span class=""lister-item-year text-muted unbold"">(1992–1995)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","13,726","
One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...                See full summary »
","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt3114390/"">KILL la KILL</a>","<span class=""lister-item-year text-muted unbold"">(2013–2014)</span>","<span class=""ipl-rating-star__rating"">6</span>","14,266","
A young girl arrives at a school of superhumans to find out the truth behind her father's murder.","<span class=""runtime"">25 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0114327/"">Sailor Moon</a>","<span class=""lister-item-year text-muted unbold"">(1995–2000)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","12,675","
The magical action-adventures of a teenage girl who learns of her destiny as the legendary warrior Sailor Moon and must band together with the other Sailor Scouts to defend the Earth and Galaxy.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-Y</span>"
"<a href=""/title/tt3837246/"">Assassination Classroom</a>","<span class=""lister-item-year text-muted unbold"">(2013–2016)</span>","<span class=""ipl-rating-star__rating"">7</span>","15,742","
A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins.","<span class=""runtime"">23 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt1799631/"">Blue Exorcist</a>","<span class=""lister-item-year text-muted unbold"">(2011)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","13,217","
After discovering that he's the son of Satan, a young man must join the True Cross Academy in order to master his abilities and defeat Satan himself.","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Action, Drama            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt1214085/"">Soul Eater</a>","<span class=""lister-item-year text-muted unbold"">(2008–2009)</span>","<span class=""ipl-rating-star__rating"">8</span>","13,007","
Set in the Shinigami technical school for weapon meisters, the series revolves around 3 duo's. These pairs are a partnership between a weapon meister and a human weapon. Trying to reach a ...                See full summary »
","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0131179/"">Detective Conan</a>","<span class=""lister-item-year text-muted unbold"">(1996– )</span>","<span class=""ipl-rating-star__rating"">Rate</span>","13,229","
The cases of a detective whose physical age was chemically reversed to that of a prepubescent boy but must hide his true mental development.","<span class=""runtime"">25 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt1913273/"">Anohana: The Flower We Saw That Day</a>","<span class=""lister-item-year text-muted unbold"">(2011)</span>","<span class=""ipl-rating-star__rating"">9</span>","13,644","
Five childhood companions reunite when the ghost of their dead friends appears, and demands they grant her final wish.","<span class=""runtime"">23 min</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt2051178/"">Fate/Zero</a>","<span class=""lister-item-year text-muted unbold"">(2011–2012)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","13,081","
Seven chosen mages and their summoned heroic spirits fight against each other to try and win the Holy Grail: a magical device that can grant any wish.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt0995941/"">Darker Than Black</a>","<span class=""lister-item-year text-muted unbold"">(2007–2010)</span>","<span class=""ipl-rating-star__rating"">10</span>","11,860","
In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is ...                See full summary »
","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Drama            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt1334722/"">Baccano!</a>","<span class=""lister-item-year text-muted unbold"">(2007–2008)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","11,829","
A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades.","<span class=""runtime"">384 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt1298820/"">Clannad: After Story</a>","<span class=""lister-item-year text-muted unbold"">(2008–2009)</span>","<span class=""ipl-rating-star__rating"">8.7</span>","11,277","
A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...                See full summary »
","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt9458304/"">Dororo</a>","<span class=""lister-item-year text-muted unbold"">(2019)</span>","<span class=""ipl-rating-star__rating"">0</span>","13,200","
A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his.","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">Not Rated</span>"
"<a href=""/title/tt0161952/"">Knights of the Zodiac</a>","<span class=""lister-item-year text-muted unbold"">(1986–1989)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","10,096","
A group a young warriors known as 'Saints', each in possession of a 'cloth' guarded by a different constellation, must protect the reincarnation of the goddess Athena as she attempts to keep the Earth from being destroyed by evil forces.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt9529546/"">The Rising of the Shield Hero</a>","<span class=""lister-item-year text-muted unbold"">(2019– )</span>","<span class=""ipl-rating-star__rating"">1</span>","13,096","
A gamer is magically summoned into a parallel universe, where he is chosen as one of four heroes destined to save the world from its prophesied doom.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0816397/"">Ouran High School Host Club</a>","<span class=""lister-item-year text-muted unbold"">(2006)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","10,133","
A girl at a prestigious school befriends the members of a ""host club"".","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Romance            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0988818/"">Gintama</a>","<span class=""lister-item-year text-muted unbold"">(2005–2021)</span>","<span class=""ipl-rating-star__rating"">2</span>","11,345","
In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","<span class=""runtime"">25 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt2230051/"">High School DxD</a>","<span class=""lister-item-year text-muted unbold"">(2012–2018)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","10,683","
After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.","<span class=""runtime"">23 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt13196080/"">Tokyo Revengers</a>","<span class=""lister-item-year text-muted unbold"">(2021– )</span>","<span class=""ipl-rating-star__rating"">3</span>","15,818","
Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Drama            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt4731072/"">Food Wars</a>","<span class=""lister-item-year text-muted unbold"">(2015– )</span>","<span class=""ipl-rating-star__rating"">Rate</span>","10,301","
Soma Yukihira enrolls in an elite culinary school to become a full-time chef and surpass his father's culinary skills.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt1118804/"">Clannad</a>","<span class=""lister-item-year text-muted unbold"">(2007–2008)</span>","<span class=""ipl-rating-star__rating"">4</span>","9,392","
A high school student who cares little about school or others meets a lonely girl who had to repeat a year while all her friends finished high school. He decides to hang out with her and soon meets more friendly students.","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt5370118/"">Konosuba: God's Blessing on This Wonderful World!</a>","<span class=""lister-item-year text-muted unbold"">(2016–2017)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","10,933","
It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt11043632/"">Beastars</a>","<span class=""lister-item-year text-muted unbold"">(2019– )</span>","<span class=""ipl-rating-star__rating"">5</span>","10,100","
In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts.","<span class=""runtime"">23 min</span>","<span class=""genre"">
Animation, Crime, Drama            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt7222086/"">Made in Abyss</a>","<span class=""lister-item-year text-muted unbold"">(2017– )</span>","<span class=""ipl-rating-star__rating"">Rate</span>","10,682","
A girl and her robot companion search for her mother, who's lost within a vast chasm.","<span class=""runtime"">325 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt8993398/"">Rascal Does Not Dream of Bunny Girl Senpai</a>","<span class=""lister-item-year text-muted unbold"">(2018– )</span>","<span class=""ipl-rating-star__rating"">6</span>","11,739","
The seemingly normal life of Sakuta Azusagawa, a high school student changes drastically when he meets a wild bunny girl that seems to be invisible to others.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Drama, Fantasy            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0315008/"">Great Teacher Onizuka</a>","<span class=""lister-item-year text-muted unbold"">(1999–2000)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","9,304","
About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt9522300/"">Kaguya-sama: Love is War</a>","<span class=""lister-item-year text-muted unbold"">(2019– )</span>","<span class=""ipl-rating-star__rating"">7</span>","13,293","
The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Romance            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0816407/"">The Melancholy of Haruhi Suzumiya</a>","<span class=""lister-item-year text-muted unbold"">(2006–2009)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","8,494","
The crazy adventures of the SOS Brigade, led by the insane but charismatic Haruhi.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Fantasy            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt4869896/"">Overlord</a>","<span class=""lister-item-year text-muted unbold"">(2015– )</span>","<span class=""ipl-rating-star__rating"">8</span>","9,916","
An office worker in a dystopian world logs onto a video game for the last time only to find out that he, along with his entire guild, has been transported to another reality.","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt9054364/"">That Time I Got Reincarnated as a Slime</a>","<span class=""lister-item-year text-muted unbold"">(2018– )</span>","<span class=""ipl-rating-star__rating"">Rate</span>","10,302","
Average 37-year-old Minami Satoru dies and is reincarnated as the most unremarkable creature imaginable-a slime.","<span class=""runtime"">25 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0367439/"">Wolf's Rain</a>","<span class=""lister-item-year text-muted unbold"">(2003–2004)</span>","<span class=""ipl-rating-star__rating"">9</span>","7,802","
In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct.","<span class=""runtime"">701 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt5514358/"">Steins;Gate 0</a>","<span class=""lister-item-year text-muted unbold"">(2018)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","9,140","
Mad scientist Okabe struggles to recover from past failure and tests a new artificial intelligence","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Drama, Mystery            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0426719/"">Hunter x Hunter</a>","<span class=""lister-item-year text-muted unbold"">(1999–2001)</span>","<span class=""ipl-rating-star__rating"">10</span>","8,254","
The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua.","<span class=""runtime"">23 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt6112556/"">Yuri!!! On Ice</a>","<span class=""lister-item-year text-muted unbold"">(2016)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","8,413","
After suffering defeat, Yuri Katsuki hangs up his ice skates for good. But will an encounter with two top skaters reignite his passion?","<span class=""runtime"">20 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt2348803/"">Kuroko's Basketball</a>","<span class=""lister-item-year text-muted unbold"">(2012–2015)</span>","<span class=""ipl-rating-star__rating"">8.8</span>","8,753","
The Teiko Middle School Basketball Team. The school that produced three perfect seasons in a row, with five once-in-a generation players, called ""The Generation of Miracles."" There was ...                See full summary »
","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Sport            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt11147852/"">Dorohedoro</a>","<span class=""lister-item-year text-muted unbold"">(2020)</span>","<span class=""ipl-rating-star__rating"">0</span>","8,635","
In a sad town a clan of sorcerers use its people to experiment with the dark arts.","<span class=""runtime"">25 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt1634208/"">Maid Sama!</a>","<span class=""lister-item-year text-muted unbold"">(2010–2011)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","7,435","
Ayuzawa Misaki serves as the student council president at Seika High. However, unbeknownst to her classmates, she works part-time as an employee at a Maid Cafe. Usui Takumi, a boy from her school, discovers this secret.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Romance            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt8690728/"">Goblin Slayer</a>","<span class=""lister-item-year text-muted unbold"">(2018– )</span>","<span class=""ipl-rating-star__rating"">1</span>","7,627","
In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense.","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt0857297/"">Welcome to the N.H.K.</a>","<span class=""lister-item-year text-muted unbold"">(2006)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","6,876","
This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt0294023/"">Captain Tsubasa</a>","<span class=""lister-item-year text-muted unbold"">(1983–1995)</span>","<span class=""ipl-rating-star__rating"">2</span>","6,697","
Tsubasa Oozora is an 11-year-old elementary school student who is deeply in love with football and dreams of one day winning the FIFA World Cup for Japan.","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0481256/"">Fighting Spirit</a>","<span class=""lister-item-year text-muted unbold"">(2000–2002)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","6,887","
Ippo, a teenage boy with a pure heart and unrelenting determination, discovers a passion for boxing after veteran fighter Takamura saves him from bullies.","<span class=""runtime"">20 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0211145/"">Digimon Adventure</a>","<span class=""lister-item-year text-muted unbold"">(1999–2000)</span>","<span class=""ipl-rating-star__rating"">3</span>","6,451","
An animated series based on the popular children's toy ""Digimon"", in which kids raise and train electronic monsters to fight against those raised by other kids. The show follows the ...                See full summary »
","<span class=""runtime"">30 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-Y7-FV</span>"
